parcel_id,farmer_name,district,mandal,village,survey_no,latitude,longitude,land_area_acres,irrigation_type,soil_type,season,year,crop_type,crop_stage,previous_crop
AP_ANP_00001,Gopal Reddy,Anantapur,Vidapanakal,Havalege,SY-1001,15.025321,77.195223,1.67,Rainfed,Black Soil,Kharif,2025,Foxtail Millet,Maturity,
AP_ANP_00001,Gopal Reddy,Anantapur,Vidapanakal,Havalege,SY-1001,15.025321,77.195223,1.67,Borewell,Black Soil,Rabi,2025,Sorghum,Vegetative,
AP_ANP_00001,Gopal Reddy,Anantapur,Vidapanakal,Havalege,SY-1001,15.025321,77.195223,1.67,Canal,Clay Loam,Summer,2025,Groundnut,Vegetative,
AP_ANP_00002,Bhavani S,Anantapur,Yadiki,Rayalacheruvu,SY-1002,15.033072,77.888396,2.78,Rainfed,Red Sandy Loam,Kharif,2025,Cotton,Sowing,
AP_ANP_00002,Bhavani S,Anantapur,Yadiki,Rayalacheruvu,SY-1002,15.033072,77.888396,2.78,Borewell,Red Loamy,Rabi,2025,Sunflower,Maturity,
AP_ANP_00002,Bhavani S,Anantapur,Yadiki,Rayalacheruvu,SY-1002,15.033072,77.888396,2.78,Canal,Black Soil,Summer,2025,Vegetables,Maturity,
AP_ANP_00003,Ravi Teja,Anantapur,Bommanahal,Bommanahal,SY-1003,14.97197,76.942896,5.06,Rainfed,Red Loamy,Kharif,2025,Paddy,Maturity,
AP_ANP_00003,Ravi Teja,Anantapur,Bommanahal,Bommanahal,SY-1003,14.97197,76.942896,5.06,Canal,Red Loamy,Rabi,2025,Bengal Gram,Vegetative,
AP_ANP_00003,Ravi Teja,Anantapur,Bommanahal,Bommanahal,SY-1003,14.97197,76.942896,5.06,Rainfed,Red Loamy,Summer,2025,Groundnut,Maturity,
AP_ANP_00004,Narasimha Rao,Anantapur,Gooty,Mamiduru,SY-1004,15.072672,77.631215,7.32,Rainfed,Clay Loam,Kharif,2025,Pearl Millet,Vegetative,
AP_ANP_00004,Narasimha Rao,Anantapur,Gooty,Mamiduru,SY-1004,15.072672,77.631215,7.32,Rainfed,Sandy Loam,Rabi,2025,Groundnut,Flowering,
AP_ANP_00004,Narasimha Rao,Anantapur,Gooty,Mamiduru,SY-1004,15.072672,77.631215,7.32,Borewell,Red Loamy,Summer,2025,Sunflower,Vegetative,
AP_ANP_00005,Anuradha V,Anantapur,Gummagatta,Bhairavanithippa,SY-1005,14.658339,76.932637,4.41,Rainfed,Sandy Loam,Kharif,2025,Cotton,Vegetative,
AP_ANP_00005,Anuradha V,Anantapur,Gummagatta,Bhairavanithippa,SY-1005,14.658339,76.932637,4.41,Rainfed,Red Sandy Loam,Rabi,2025,Sorghum,Maturity,
AP_ANP_00005,Anuradha V,Anantapur,Gummagatta,Bhairavanithippa,SY-1005,14.658339,76.932637,4.41,Rainfed,Red Sandy Loam,Summer,2025,Vegetables,Sowing,
AP_ANP_00006,Krishna Murthy,Anantapur,Yellanur,Chilamakur,SY-1006,14.708917,77.956856,6.29,Rainfed,Black Soil,Kharif,2025,Pearl Millet,Flowering,
AP_ANP_00006,Krishna Murthy,Anantapur,Yellanur,Chilamakur,SY-1006,14.708917,77.956856,6.29,Borewell,Black Soil,Rabi,2025,Bengal Gram,Sowing,
AP_ANP_00006,Krishna Murthy,Anantapur,Yellanur,Chilamakur,SY-1006,14.708917,77.956856,6.29,Rainfed,Red Loamy,Summer,2025,Maize,Sowing,
