parcel_id,farmer_name,season,year,soil_type,soil_texture,soil_depth_cm,pH,organic_carbon,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,sulphur_ppm,zinc_ppm,electrical_conductivity,drainage_class,soil_fertility_score
AP_ANP_00001,Gopal Reddy,Kharif,2025,Black Cotton Soil,Sandy,54,7.83,0.8,252,26,314,6.45,2.64,1.24,Good,
AP_ANP_00001,Gopal Reddy,Rabi,2025,Black Cotton Soil,Sandy,54,7.83,0.8,252,26,314,6.45,2.64,1.24,Good,
AP_ANP_00001,Gopal Reddy,Summer,2025,Black Cotton Soil,Sandy,54,7.83,0.8,252,26,314,6.45,2.64,1.24,Good,
AP_ANP_00002,Bhavani S,Kharif,2025,Clay Loam,Loamy,127,8.08,0.41,341,28,260,12.61,1.72,0.92,Poor,
AP_ANP_00002,Bhavani S,Rabi,2025,Clay Loam,Loamy,127,8.08,0.41,341,28,260,12.61,1.72,0.92,Poor,
AP_ANP_00002,Bhavani S,Summer,2025,Clay Loam,Loamy,127,8.08,0.41,341,28,260,12.61,1.72,0.92,Poor,
AP_ANP_00003,Ravi Teja,Kharif,2025,Sandy Loam,Clay,81,6.12,1.17,164,10,234,9.26,0.48,1.9,Moderate,
AP_ANP_00003,Ravi Teja,Rabi,2025,Sandy Loam,Clay,81,6.12,1.17,164,10,234,9.26,0.48,1.9,Moderate,
AP_ANP_00003,Ravi Teja,Summer,2025,Sandy Loam,Clay,81,6.12,1.17,164,10,234,9.26,0.48,1.9,Moderate,
AP_ANP_00004,Narasimha Rao,Kharif,2025,Red Loamy Soil,Sandy,129,6.24,0.88,260,14,363,5.86,2.76,0.59,Moderate,
AP_ANP_00004,Narasimha Rao,Rabi,2025,Red Loamy Soil,Sandy,129,6.24,0.88,260,14,363,5.86,2.76,0.59,Moderate,
AP_ANP_00004,Narasimha Rao,Summer,2025,Red Loamy Soil,Sandy,129,6.24,0.88,260,14,363,5.86,2.76,0.59,Moderate,
AP_ANP_00005,Anuradha V,Kharif,2025,Red Loamy Soil,Loamy,132,8.42,0.98,311,17,369,23.18,1.18,1.18,Poor,
AP_ANP_00005,Anuradha V,Rabi,2025,Red Loamy Soil,Loamy,132,8.42,0.98,311,17,369,23.18,1.18,1.18,Poor,
AP_ANP_00005,Anuradha V,Summer,2025,Red Loamy Soil,Loamy,132,8.42,0.98,311,17,369,23.18,1.18,1.18,Poor,
AP_ANP_00006,Krishna Murthy,Kharif,2025,Clay Loam,Sandy,121,7.35,0.79,366,48,256,25.05,0.5,1.98,Poor,
AP_ANP_00006,Krishna Murthy,Rabi,2025,Clay Loam,Sandy,121,7.35,0.79,366,48,256,25.05,0.5,1.98,Poor,
AP_ANP_00006,Krishna Murthy,Summer,2025,Clay Loam,Sandy,121,7.35,0.79,366,48,256,25.05,0.5,1.98,Poor,
AP_ANP_00007,Padma Kumari,Kharif,2025,Sandy Loam,Clay,120,7.78,0.99,272,12,330,21.28,2.77,1.72,Moderate,
AP_ANP_00007,Padma Kumari,Rabi,2025,Sandy Loam,Clay,120,7.78,0.99,272,12,330,21.28,2.77,1.72,Moderate,
AP_ANP_00007,Padma Kumari,Summer,2025,Sandy Loam,Clay,120,7.78,0.99,272,12,330,21.28,2.77,1.72,Moderate,
AP_ANP_00008,Srinivas Reddy,Kharif,2025,Clay Loam,Clay,83,7.59,1.09,342,42,200,29.29,2.59,1.47,Good,
AP_ANP_00008,Srinivas Reddy,Rabi,2025,Clay Loam,Clay,83,7.59,1.09,342,42,200,29.29,2.59,1.47,Good,
AP_ANP_00008,Srinivas Reddy,Summer,2025,Clay Loam,Clay,83,7.59,1.09,342,42,200,29.29,2.59,1.47,Good,
AP_ANP_00009,Venkatesh Rao,Kharif,2025,Sandy Loam,Sandy,118,7.07,0.23,354,39,330,16.88,1.82,1.42,Poor,
AP_ANP_00009,Venkatesh Rao,Rabi,2025,Sandy Loam,Sandy,118,7.07,0.23,354,39,330,16.88,1.82,1.42,Poor,
AP_ANP_00009,Venkatesh Rao,Summer,2025,Sandy Loam,Sandy,118,7.07,0.23,354,39,330,16.88,1.82,1.42,Poor,
AP_ANP_00010,Nagarjuna Reddy,Kharif,2025,Clay Loam,Clay,82,6.51,1.14,220,29,383,28.24,2.48,1.3,Moderate,
AP_ANP_00010,Nagarjuna Reddy,Rabi,2025,Clay Loam,Clay,82,6.51,1.14,220,29,383,28.24,2.48,1.3,Moderate,
AP_ANP_00010,Nagarjuna Reddy,Summer,2025,Clay Loam,Clay,82,6.51,1.14,220,29,383,28.24,2.48,1.3,Moderate,
AP_ANP_00011,Venkat Ramaiah,Kharif,2025,Black Cotton Soil,Loamy,101,7.35,1.01,241,32,330,27.67,1.03,1.33,Poor,
AP_ANP_00011,Venkat Ramaiah,Rabi,2025,Black Cotton Soil,Loamy,101,7.35,1.01,241,32,330,27.67,1.03,1.33,Poor,
AP_ANP_00011,Venkat Ramaiah,Summer,2025,Black Cotton Soil,Loamy,101,7.35,1.01,241,32,330,27.67,1.03,1.33,Poor,
AP_ANP_00012,Gopal Reddy,Kharif,2025,Clay Loam,Sandy,42,6.02,0.71,286,44,324,8.0,1.21,1.89,Moderate,
AP_ANP_00012,Gopal Reddy,Rabi,2025,Clay Loam,Sandy,42,6.02,0.71,286,44,324,8.0,1.21,1.89,Moderate,
AP_ANP_00012,Gopal Reddy,Summer,2025,Clay Loam,Sandy,42,6.02,0.71,286,44,324,8.0,1.21,1.89,Moderate,
AP_ANP_00013,Bhavani S,Kharif,2025,Red Sandy Loam,Sandy,101,8.43,1.16,188,9,212,8.7,2.99,0.61,Moderate,
AP_ANP_00013,Bhavani S,Rabi,2025,Red Sandy Loam,Sandy,101,8.43,1.16,188,9,212,8.7,2.99,0.61,Moderate,
AP_ANP_00013,Bhavani S,Summer,2025,Red Sandy Loam,Sandy,101,8.43,1.16,188,9,212,8.7,2.99,0.61,Moderate,
AP_ANP_00014,Ravi Teja,Kharif,2025,Black Cotton Soil,Loamy,126,6.7,1.11,296,9,152,17.24,2.96,0.56,Good,
AP_ANP_00014,Ravi Teja,Rabi,2025,Black Cotton Soil,Loamy,126,6.7,1.11,296,9,152,17.24,2.96,0.56,Good,
AP_ANP_00014,Ravi Teja,Summer,2025,Black Cotton Soil,Loamy,126,6.7,1.11,296,9,152,17.24,2.96,0.56,Good,
AP_ANP_00015,Narasimha Rao,Kharif,2025,Sandy Loam,Sandy,77,6.92,0.83,347,29,339,24.96,0.71,1.07,Poor,
AP_ANP_00015,Narasimha Rao,Rabi,2025,Sandy Loam,Sandy,77,6.92,0.83,347,29,339,24.96,0.71,1.07,Poor,
AP_ANP_00015,Narasimha Rao,Summer,2025,Sandy Loam,Sandy,77,6.92,0.83,347,29,339,24.96,0.71,1.07,Poor,
AP_ANP_00016,Anuradha V,Kharif,2025,Black Cotton Soil,Clay,75,6.04,0.71,296,27,298,9.36,2.17,0.83,Moderate,
AP_ANP_00016,Anuradha V,Rabi,2025,Black Cotton Soil,Clay,75,6.04,0.71,296,27,298,9.36,2.17,0.83,Moderate,
AP_ANP_00016,Anuradha V,Summer,2025,Black Cotton Soil,Clay,75,6.04,0.71,296,27,298,9.36,2.17,0.83,Moderate,
AP_ANP_00017,Krishna Murthy,Kharif,2025,Red Sandy Loam,Clay,131,7.84,0.41,308,37,397,11.45,2.08,1.65,Poor,
AP_ANP_00017,Krishna Murthy,Rabi,2025,Red Sandy Loam,Clay,131,7.84,0.41,308,37,397,11.45,2.08,1.65,Poor,
AP_ANP_00017,Krishna Murthy,Summer,2025,Red Sandy Loam,Clay,131,7.84,0.41,308,37,397,11.45,2.08,1.65,Poor,
AP_ANP_00018,Padma Kumari,Kharif,2025,Black Cotton Soil,Sandy,41,8.49,1.17,346,44,259,20.83,1.22,0.76,Good,
AP_ANP_00018,Padma Kumari,Rabi,2025,Black Cotton Soil,Sandy,41,8.49,1.17,346,44,259,20.83,1.22,0.76,Good,
AP_ANP_00018,Padma Kumari,Summer,2025,Black Cotton Soil,Sandy,41,8.49,1.17,346,44,259,20.83,1.22,0.76,Good,
AP_ANP_00019,Srinivas Reddy,Kharif,2025,Red Sandy Loam,Clay,152,6.4,1.1,233,42,211,7.54,2.09,0.11,Moderate,
AP_ANP_00019,Srinivas Reddy,Rabi,2025,Red Sandy Loam,Clay,152,6.4,1.1,233,42,211,7.54,2.09,0.11,Moderate,
AP_ANP_00019,Srinivas Reddy,Summer,2025,Red Sandy Loam,Clay,152,6.4,1.1,233,42,211,7.54,2.09,0.11,Moderate,
AP_ANP_00020,Vijayalakshmi,Kharif,2025,Red Loamy Soil,Loamy,74,7.63,0.42,310,11,388,17.35,0.78,0.8,Good,
