parcel_id,farmer_name,season,year,total_rainfall_mm,rainy_days,avg_temperature_c,max_temperature_c,min_temperature_c,avg_humidity_percent,avg_wind_speed_kmph,solar_radiation_mj,evapotranspiration_mm,drought_risk
AP_ANP_00001,Gopal Reddy,Kharif,2025,399.8,22,33.5,36.4,30.6,77.0,3.9,27.6,200.3,
AP_ANP_00001,Gopal Reddy,Rabi,2025,112.0,31,18.2,21.5,15.1,69.1,5.8,17.5,181.2,
AP_ANP_00001,Gopal Reddy,Summer,2025,43.2,43,33.5,35.8,25.7,41.4,6.5,13.6,204.6,
AP_ANP_00002,Bhavani S,Kharif,2025,403.0,38,33.8,39.4,30.8,69.0,4.0,29.1,291.4,
AP_ANP_00002,Bhavani S,Rabi,2025,125.1,21,21.7,25.1,15.6,42.9,12.1,27.0,93.3,
AP_ANP_00002,Bhavani S,Summer,2025,39.1,7,32.2,35.4,26.8,46.4,3.5,27.2,162.4,
AP_ANP_00003,Ravi Teja,Kharif,2025,408.1,16,33.3,35.8,30.1,76.8,3.7,17.9,147.2,
AP_ANP_00003,Ravi Teja,Rabi,2025,55.3,42,27.9,31.7,24.9,50.7,3.2,19.6,148.7,
AP_ANP_00003,Ravi Teja,Summer,2025,29.3,9,30.2,36.6,23.6,27.0,4.1,18.5,79.0,
AP_ANP_00004,Narasimha Rao,Kharif,2025,595.2,24,30.2,36.2,24.2,64.9,11.9,16.9,190.3,
AP_ANP_00004,Narasimha Rao,Rabi,2025,69.8,6,29.7,35.1,23.1,65.5,10.4,21.4,156.9,
AP_ANP_00004,Narasimha Rao,Summer,2025,2.5,40,31.3,36.2,25.9,21.1,13.4,14.5,201.1,
AP_ANP_00005,Anuradha V,Kharif,2025,465.9,8,26.0,29.7,23.0,83.3,16.9,26.5,208.4,
AP_ANP_00005,Anuradha V,Rabi,2025,133.3,31,27.6,34.9,23.7,45.6,4.8,18.4,276.7,
AP_ANP_00005,Anuradha V,Summer,2025,27.2,14,37.8,45.0,35.8,20.0,10.7,19.5,105.5,
AP_ANP_00006,Krishna Murthy,Kharif,2025,297.9,33,27.4,32.5,21.2,83.3,8.5,29.5,290.6,
AP_ANP_00006,Krishna Murthy,Rabi,2025,52.7,18,24.0,27.6,16.1,49.0,9.2,12.6,136.3,
AP_ANP_00006,Krishna Murthy,Summer,2025,63.4,27,38.2,46.1,34.7,38.6,13.1,25.7,109.4,
AP_ANP_00007,Padma Kumari,Kharif,2025,541.3,7,27.7,32.1,20.8,74.0,15.0,14.7,177.0,
